Dataset,Year,Data Modality,# Images,# Classes,Classes,Resolution,Annotation Types,Geographical Location,Potential task(s),License,Paper,Access
Materials in Context Database (MINC)-2500,2015,Ground RGB (real),"57,500",23,"brick, carpet, ceramic, fabric, foliage, food, glass, hair, leather, metal, mirror, other, painted, paper, plastic, polishedstone, skin, sky, stone, tile, wallpaper, water, wood",362 x 362,Patch material classification and Full scene material classification,Not Specified,Image Classification,CC BY 4.0,Material Recognition in the Wild with the Materials in Context Database,http://opensurfaces.cs.cornell.edu/publications/minc/#download
SCUT-HEAD Dataset,2018,Ground RGB (real),"4,405",1,person head,Not Specified,Bounding boxes,Not Specified,Object detection,Not Specified,Detecting Heads using Feature Refine Net and Cascaded Multi-scale Architecture,https://github.com/HCIILAB/SCUT-HEAD-Dataset-Release
GDUT-HWD,2019,Ground RGB (real),"3,174",5,"Colored hardhat (Blue, White, Yellow, Red), None",Not Specified,Bounding boxes,Not Specified,Object detection,Apache-2.0 license,Automatic detection of hardhats worn by construction personnel: A deep learning approach and benchmark dataset,https://github.com/wujixiu/helmet-detection 
Concrete Crack Segmentation Dataset,2019,Ground RGB (real),458,1,concrete crack,Not Specified,Pixel-level masks,Not Specified,Semantic Segmentation,CC BY 4.0,Concrete Crack Segmentation Dataset,https://data.mendeley.com/datasets/jwsn7tfbrp/1
Earthmoving Equipment Tracking,2019,Video clips,,7,"Excavators (Idle, Swing bucket, Load bucket, Dump, Move), Dump trucks (Fill, Move)",480 x 272,Bounding boxes,Not Specified,Object detection and tracking,CC BY 4.0,"End-to-end vision-based detection, tracking and activity analysis of earthmoving equipment filmed at ground level",https://data.mendeley.com/datasets/fyw6ps2d2j/1  
SafetyHelmetWearing-Dataset (SHWD),2019,Ground RGB (real),"7,581",2,"person, hardhat",Not Specified,Bounding boxes,Not Specified,Object detection,MIT License,,https://github.com/njvisionpower/Safety-Helmet-Wearing-Dataset 
Alberta Construction Image Data Set (ACID),2020,Aerial and Ground RGB (real),"10,000",10,"Excavator, Compactor, Dozer, Grader, Dump truck, Concrete mixer truck, Wheel loader, Backhoe loader, Tower crane, Mobile crane", 608 × 608,"Bounding boxes, Image captions, Semantic segmentation",Not Specified,"Object detection, Semantic segmentation, Image captioning",CC BY-NC 4.0,Development of an image data set of construction machines for deep learning object detection; Deep learning image captioning in construction management: a feasibility study,https://www.acidb.ca/
Construction equipment pose dataset,2020,Ground RGB (real),"1,281",,"Body_end, Cab_boom, Boom_arm, Arm_bucket, Left_bucket_end, Right_bucket_end",512 × 512,keypoints,Not Specified,Pose estimation,,Full body pose estimation of construction equipment using computer vision and deep learning techniques,https://hkustconnect-my.sharepoint.com/:f:/g/personal/hluoaf_connect_ust_hk/EmiZELaKKoZMqgHO3k_2a68BFWu_gq9Z9MZWX5u0cQE1nw?e=6xsOLB
Hardhat-Wearing,2020,Ground RGB (real),"7,064",2,"hardhat, no_hardhat",Not Specified,Bounding boxes,Not Specified,Object detection,CC0 1.0,Hardhat-Wearing Detection Based on a Lightweight Convolutional Neural Network with Multi-Scale Features and a Top-Down Module,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7CBGOS
UAV-acquired construction site image caption dataset,2020,Aerial RGB (real),"1,431",,"4 information types (position, status, movement, color, quantity)",960 × 540,Image captions,Not Specified,Image captioning,CC BY 4.0,Context-based information generation from construction site images using unmanned aerial vehicle (UAV)-acquired data and image captioning,https://data.mendeley.com/datasets/4h68fmktwh/1
